    7.879641   -9.050484    8.489627    2.934003    7.970847   -8.970262   15.170623  -18.570431
    7.859861   -9.067667    8.489840    2.915786    7.954325   -8.984916   15.158449  -18.581821
    7.839741   -9.085068    8.490061    2.897298    7.937535   -8.999752   15.146055  -18.593357
    7.819277   -9.102686    8.490291    2.878538    7.920477   -9.014767   15.133440  -18.605032
    7.798469   -9.120520    8.490528    2.859508    7.903152   -9.029960   15.120601  -18.616848
    7.777315   -9.138564    8.490775    2.840208    7.885560   -9.045327   15.107538  -18.628803
    7.755815   -9.156819    8.491034    2.820637    7.867699   -9.060867   15.094250  -18.640896
    7.733966   -9.175281    8.491303    2.800797    7.849570   -9.076576   15.080734  -18.653124
    7.711766   -9.193947    8.491582    2.780688    7.831173   -9.092454   15.066991  -18.665485
    7.689217   -9.212814    8.491871    2.760311    7.812508   -9.108497   15.053018  -18.677980
    7.666314   -9.231881    8.492172    2.739667    7.793575   -9.124702   15.038814  -18.690605
    7.643058   -9.251144    8.492485    2.718754    7.774374   -9.141068   15.024377  -18.703362
    7.619446   -9.270600    8.492809    2.697576    7.754905   -9.157589   15.009706  -18.716242
    7.595479   -9.290248    8.493146    2.676130    7.735168   -9.174267   14.994801  -18.729252
    7.571154   -9.310082    8.493494    2.654419    7.715162   -9.191097   14.979658  -18.742386
    7.546469   -9.330102    8.493855    2.632442    7.694889   -9.208077   14.964277  -18.755642
    7.521424   -9.350304    8.494229    2.610200    7.674347   -9.225204   14.948656  -18.769020
    7.496017   -9.370685    8.494618    2.587693    7.653538   -9.242476   14.932795  -18.782518
    7.470247   -9.391241    8.495019    2.564922    7.632461   -9.259889   14.916691  -18.796135
    7.444113   -9.411970    8.495436    2.541888    7.611117   -9.277441   14.900342  -18.809870
    7.417613   -9.432869    8.495866    2.518590    7.589506   -9.295128   14.883749  -18.823717
    7.390747   -9.453934    8.496312    2.495029    7.567627   -9.312948   14.866907  -18.837681
    7.363513   -9.475162    8.496774    2.471208    7.545483   -9.330899   14.849819  -18.851753
    7.335908   -9.496550    8.497252    2.447121    7.523072   -9.348978   14.832480  -18.865940
    7.307934   -9.518093    8.497747    2.422775    7.500395   -9.367181   14.814890  -18.880234
    7.279587   -9.539791    8.498260    2.398167    7.477453   -9.385505   14.797047  -18.894634
    7.250867   -9.561639    8.498790    2.373297    7.454245   -9.403947   14.778950  -18.909142
    7.221773   -9.583632    8.499336    2.348166    7.430773   -9.422506   14.760596  -18.923752
    7.192304   -9.605768    8.499901    2.322777    7.407036   -9.441176   14.741986  -18.938465
    7.162457   -9.628042    8.500484    2.297128    7.383036   -9.459957   14.723117  -18.953281
    7.132234   -9.650454    8.501087    2.271217    7.358773   -9.478843   14.703987  -18.968197
    7.101630   -9.672996    8.501711    2.245049    7.334248   -9.497832   14.684598  -18.983208
    7.070647   -9.695666    8.502354    2.218619    7.309460   -9.516922   14.664944  -18.998318
    7.039283   -9.718462    8.503017    2.191932    7.284410   -9.536108   14.645024  -19.013521
    7.007537   -9.741377    8.503704    2.164986    7.259100   -9.555389   14.624840  -19.028820
    6.975409   -9.764409    8.504411    2.137782    7.233531   -9.574760   14.604388  -19.044210
    6.942895   -9.787554    8.505137    2.110320    7.207703   -9.594218   14.583667  -19.059689
    6.909997   -9.810807    8.505887    2.082600    7.181616   -9.613760   14.562675  -19.075258
    6.876713   -9.834166    8.506661    2.054623    7.155272   -9.633383   14.541413  -19.090916
    6.843042   -9.857624    8.507460    2.026386    7.128672   -9.653084   14.519877  -19.106659
    6.808984   -9.881181    8.508282    1.997893    7.101816   -9.672859   14.498067  -19.122488
    6.774538   -9.904829    8.509128    1.969142    7.074706   -9.692705   14.475980  -19.138399
    6.739702   -9.928566    8.509999    1.940134    7.047342   -9.712620   14.453616  -19.154394
    6.704474   -9.952387    8.510897    1.910870    7.019726   -9.732597   14.430974  -19.170467
    6.668858   -9.976288    8.511823    1.881346    6.991858   -9.752636   14.408051  -19.186621
    6.632850  -10.000265    8.512775    1.851565    6.963740   -9.772733   14.384849  -19.202852
    6.596449  -10.024313    8.513755    1.821527    6.935374   -9.792885   14.361362  -19.219162
    6.559656  -10.048429    8.514764    1.791232    6.906760   -9.813087   14.337591  -19.235546
    6.522470  -10.072606    8.515799    1.760679    6.877898   -9.833337   14.313536  -19.252005
    6.484889  -10.096842    8.516865    1.729868    6.848793   -9.853630   14.289193  -19.268536
    6.446914  -10.121131    8.517960    1.698800    6.819443   -9.873966   14.264564  -19.285139
    6.408545  -10.145470    8.519085    1.667473    6.789850   -9.894338   14.239644  -19.301811
    6.369781  -10.169852    8.520241    1.635888    6.760018   -9.914745   14.214436  -19.318556
    6.330621  -10.194275    8.521429    1.604045    6.729945   -9.935182   14.188934  -19.335365
    6.291066  -10.218732    8.522648    1.571944    6.699635   -9.955647   14.163141  -19.352245
    6.251116  -10.243220    8.523901    1.539583    6.669088   -9.976134   14.137054  -19.369190
    6.210769  -10.267734    8.525184    1.506963    6.638307   -9.996644   14.110674  -19.386200
    6.170026  -10.292269    8.526503    1.474082    6.607292  -10.017170   14.083995  -19.403273
    6.128888  -10.316818    8.527854    1.440943    6.576046  -10.037709   14.057019  -19.420406
    6.087353  -10.341380    8.529241    1.407542    6.544571  -10.058260   14.029747  -19.437607
    6.045423  -10.365948    8.530664    1.373880    6.512868  -10.078817   14.002175  -19.454865
    6.003096  -10.390516    8.532122    1.339958    6.480939  -10.099379   13.974302  -19.472185
    5.960374  -10.415083    8.533615    1.305771    6.448786  -10.119939   13.946129  -19.489563
    5.917257  -10.439640    8.535147    1.271323    6.416409  -10.140497   13.917653  -19.506998
    5.873744  -10.464183    8.536715    1.236611    6.383813  -10.161050   13.888874  -19.524494
    5.829838  -10.488708    8.538321    1.201635    6.351000  -10.181592   13.859791  -19.542044
    5.785537  -10.513209    8.539966    1.166393    6.317968  -10.202121   13.830401  -19.559650
    5.740842  -10.537682    8.541649    1.130886    6.284724  -10.222633   13.800709  -19.577311
    5.695755  -10.562120    8.543372    1.095113    6.251266  -10.243128   13.770706  -19.595028
